IXI_ID,R_SFG_GMT,L_SFG_GMT,R_MFG_GMT,L_MFG_GMT,R_OplFG_GMT,L_OplFG_GMT,R_TrIFG_GMT,L_TrIFG_GMT,R_OrlFG_GMT,L_OrlFG_GMT,R_PrG_GMT,L_PrG_GMT,R_TFG_GMT,L_TFG_GMT,R_GRe_GMT,R_GRe_GMT,R_MOrG_GMT,L_MOrG_GMT,R_AOrG_GMT,L_AOrG_GMT,R_POrG_GMT,L_POrG_GMT,R_ParacentralLobule_GMT,L_ParacentralLobule_GMT,R_CgG_GMT,L_CgG_GMT,R_SCA_GMT,L_SCA_GMT,R_PoG_GMT,L_PoG_GMT,R_SMG_GMT,L_SMG_GMT,R_AnG_GMT,L_AnG_GMT,R_SPL_GMT,L_SPL_GMT,R_Pcu_GMT,L_Pcu_GMT,R_tmp_GMT,L_tmp_GMT,R_STG_GMT,L_STG_GMT,R_TTG_GMT,L_TTG_GMT,R_MTG_GMT,L_MTG_GMT,R_ITG_GMT,L_ITG_GMT,R_FuG_GMT,L_FuG_GMT,R_PHG_GMT,L_PHG_GMT,R_SOG_GMT,L_SOG_GMT,R_MOcG_GMT,L_MOcG_GMT,R_IOG_GMT,L_IOG_GMT,R_LiG_GMT,L_LiG_GMT,R_Cun_GMT,L_Cun_GMT,R_Ins_GMT,L_Ins_GMT,WMV,R_SFG_GMV,L_SFG_GMV,R_MFG_GMV,L_MFG_GMV,R_HiF_GMV,L_HiF_GMV
425,4.503812,5.838583,4.390429,4.547706,4.278138,4.180559,3.281775,3.885283,3.125177,6.017533,3.996517,3.930675,3.949072,5.901488,5.080791,6.122967,4.634523,6.884552,4.716325,5.504556,5.933635,7.134581,3.827085,4.196006,3.639875,3.399788,4.001038,4.933246,3.16533,3.443332,3.821547,2.734467,3.315893,1.910997,3.030816,2.145246,2.746166,2.547948,5.488128,4.074819,3.806177,3.17976,3.687525,3.847787,3.578797,2.420825,4.8213,3.70747,3.890326,3.202381,3.371866,3.135325,2.21367,1.021805,2.693432,1.190836,2.559624,2.477773,2.516829,2.400993,1.742055,1.451562,5.658722,5.858695,346541.2286,26982.76471,30263.35294,10118.26141,10253.85725,1599.386472,1881.484266
64,3.191111,3.222904,2.960145,3.047012,2.857561,2.864679,2.755554,2.724831,2.964284,3.217168,2.852812,2.727212,3.288438,2.911866,3.038952,2.815213,2.837477,2.916594,3.24545,3.129621,3.263002,3.488451,2.642617,2.380002,2.551849,2.42864,2.324533,2.738675,2.514907,2.477888,2.983318,2.802637,2.972596,3.040155,2.641773,2.463641,2.497331,2.409778,3.708787,3.798661,2.904273,2.979524,2.415116,2.306246,2.881818,2.972869,2.909168,3.058651,2.378266,2.812895,2.933481,3.640967,2.027705,2.187409,2.894028,2.310619,2.118965,2.099437,1.728244,1.816773,1.744461,1.770864,3.372485,3.403335,586767.7998,31105.95132,31725.71122,14390.64279,17610.63009,2490.516548,2548.975813
278,3.725395,3.604328,3.831594,3.735416,3.11332,3.123635,3.170164,3.192644,3.084552,3.629473,3.457501,3.464926,2.650915,3.91905,2.137644,1.756551,2.515716,2.065598,3.89872,3.881143,2.154019,2.144852,2.846294,2.88094,2.103023,2.192617,0.901022,0.638161,3.118425,3.373535,3.175386,3.50696,3.671976,3.52587,2.966884,2.835491,2.295716,2.380995,2.745931,3.906257,3.770489,3.27262,2.943583,2.807884,3.917473,3.606945,3.479224,3.853955,2.363778,2.612913,1.518454,1.511455,2.085636,1.44624,3.802099,2.742461,2.837002,2.209135,1.496189,1.595393,1.403518,1.351497,2.632838,3.021962,674183.3664,40607.04304,36816.66135,18647.27504,23810.75526,962.530634,1563.384107
230,3.655089,3.533102,3.34323,3.183601,3.109361,3.155409,2.836506,3.034363,3.288078,3.274244,3.142147,2.749968,3.771831,3.06589,5.121749,5.214782,4.820203,4.509142,3.304112,2.941519,3.771093,3.773911,3.398905,3.131494,3.089163,3.077046,3.52745,3.186791,2.575818,2.508179,3.247062,2.487731,2.972228,1.922918,2.3679,1.743778,2.445532,2.310942,4.757952,2.574682,3.323562,3.41945,3.145988,3.587852,3.087552,2.857437,4.0328,3.409952,3.277375,3.42927,3.311497,3.064204,2.078448,0.768424,2.793892,1.091719,2.33798,2.436236,2.102551,1.86562,1.894051,1.508163,4.072452,4.466538,479640.2844,24952.98948,28481.56854,11218.16028,12898.62452,2594.236083,1973.704696
38,3.039854,3.041647,2.772736,2.906043,2.961186,3.071578,2.900386,3.175237,2.696185,2.915935,2.659263,2.605505,2.884119,2.764375,2.574865,2.703712,2.682176,2.238149,3.524008,3.134997,3.1027,3.204784,2.246887,2.321592,2.483891,2.515813,3.840518,3.213256,2.229334,2.608138,2.933608,2.886252,2.780211,2.708572,2.423159,2.440622,2.564488,2.519092,3.838919,3.677404,3.103142,2.991149,2.764446,2.792976,2.980726,2.806845,2.931323,2.911578,2.782676,2.583674,3.215286,3.143225,2.146586,2.301537,2.534776,2.548843,2.553339,2.731146,2.169399,2.132623,1.966027,2.075505,3.526714,3.548095,607650.8905,31368.9975,33775.8564,14283.30292,15731.60621,3114.674616,2895.206697
201,3.887383,3.811858,3.529665,3.652348,3.394554,3.448422,3.242294,3.47932,2.587149,3.403285,3.359397,3.500956,3.377418,3.591323,2.020226,1.779134,2.128712,1.447349,3.232191,3.638234,2.031077,2.730725,3.248238,2.89912,2.562172,1.818139,1.756341,1.340278,3.205158,3.264116,3.153289,3.267471,2.636389,3.241149,3.297436,2.773886,3.065116,2.749826,2.938084,4.021447,3.250192,3.53289,3.259772,2.565488,2.744314,3.330905,2.770911,3.282672,2.357673,2.170001,1.565814,1.444612,2.771327,2.444764,2.171363,3.433544,2.673699,2.897005,1.983739,1.768264,2.989116,1.479046,3.059677,3.246357,529064.0837,29756.28063,31888.82058,15256.86386,16512.93574,1029.466936,739.508458
153,3.03689,3.062207,2.796923,2.693008,2.871916,2.985755,2.615516,2.745952,3.18397,2.682044,2.708525,2.435995,2.863031,3.337974,2.877781,2.517417,2.565039,2.576778,3.122072,3.383312,3.442997,3.216067,2.24736,2.209964,2.554569,2.562134,2.727126,3.335925,2.390697,2.490524,2.95643,2.881164,2.731299,2.778979,2.501218,2.448007,2.498827,2.55728,3.942063,3.664512,2.996679,2.744441,2.584855,2.457859,2.805963,2.883889,3.035912,2.851949,2.66394,2.846593,3.214386,3.205765,1.931106,1.862845,2.509487,2.230889,2.248413,2.522294,2.042385,2.071212,2.146852,2.134729,3.235213,3.312257,572807.1294,33945.6151,33670.1397,14071.84852,16777.03805,2740.34398,2642.512661
43,3.513346,3.344753,3.219329,3.193209,3.148303,3.038147,2.90656,2.991877,3.257826,2.86429,2.998802,2.823358,3.254447,3.407803,3.418804,3.556032,3.272502,3.145455,3.199829,3.591544,3.680556,3.519481,2.675493,2.56373,2.683784,2.664773,1.567652,2.694015,2.721965,2.828771,3.261653,3.181489,3.155294,3.070477,2.759607,2.729906,2.856802,2.762472,4.488855,3.752466,3.424298,3.461052,2.976524,3.031699,3.28674,3.284742,3.063857,3.425875,2.93422,3.397595,3.041393,3.252098,2.415832,2.501719,2.82693,2.799979,3.204885,2.75147,2.22818,2.243764,2.174074,2.17043,3.8737,3.772133,478218.42,33657.30459,36561.8128,15215.88303,15271.74249,2271.934459,2185.750559
426,2.237205,2.367746,2.57082,2.855953,2.495416,2.892784,2.896138,2.811004,2.454616,3.049136,2.620884,2.319241,3.154522,3.666569,2.385003,2.608389,2.815911,3.052501,3.141747,3.47963,1.615175,2.428454,1.760542,2.7411,2.364616,2.275913,1.895063,2.009835,2.577863,2.408447,2.830467,2.30465,2.876388,3.061499,2.557734,2.984644,2.612026,2.596544,0.645048,1.949237,2.963395,2.661427,2.515388,2.636186,2.39395,2.162525,1.95726,2.22464,3.293986,2.26063,0.846629,1.090441,2.817246,3.159016,2.757373,1.875617,2.669796,0.894637,1.874218,0.734415,2.829614,2.973492,2.140728,2.139209,600685.4184,19459.83998,21076.59342,11588.18107,16834.89423,1192.938347,710.243069
112,3.220265,3.211754,3.072792,3.096896,3.131693,3.017119,2.95719,2.98965,3.182499,3.231205,2.610254,2.478696,2.666209,3.093623,2.671826,2.714466,2.420875,2.844273,3.13652,3.246673,3.41605,3.410096,2.379136,2.167961,2.590216,2.641294,2.18162,2.841177,2.346743,2.601429,2.984712,2.967705,2.897022,3.175474,2.56115,2.741467,2.501404,2.618437,4.118524,4.182018,3.177422,2.951193,2.529361,2.552486,3.18704,3.089484,3.131547,3.212739,2.89457,2.990173,2.898029,3.156235,2.49954,2.500353,2.801071,2.576295,2.591399,2.626422,2.114389,1.982004,2.023297,1.839337,3.281248,3.371643,598492.297,31028.60708,35129.32766,17580.32019,18089.41456,2519.252759,2210.962714
65,3.246461,3.21998,2.988139,2.997842,3.322617,3.082186,2.892231,2.875164,3.188797,2.851117,2.834364,2.765538,3.36336,3.231574,3.312541,2.543529,3.120556,2.704524,3.351487,3.434486,3.476278,3.252415,2.400559,2.64482,2.559597,2.746897,3.532549,3.39989,2.581487,2.784014,3.167237,2.826665,3.002328,2.70301,2.58198,2.814525,2.653125,2.840731,3.776762,3.58795,2.965975,3.09143,2.809722,2.707763,3.102666,3.053039,3.168929,3.207879,2.930414,2.910539,3.338903,3.508827,2.495687,2.645745,2.780422,2.470996,2.758402,2.716505,1.97305,2.285943,2.038115,2.360282,3.775415,3.099151,527781.0565,29294.67183,31696.69862,14058.69768,15890.75206,2914.551347,2698.869178
